ProgramNameEN,FiscalYear,AwardAmount
Discovery Grants Program - Individual,2016,328120835
Discovery Grants Program - Individual,2014,318531751
Discovery Grants Program - Individual,2015,318145584
Discovery Grants Program - Individual,2013,315708147
Discovery Grants Program - Individual,2012,314440589
Discovery Grants Program - Individual,2011,310896274
Discovery Grants Program - Individual,2009,309730991
Discovery Grants Program - Individual,2010,307161877
Discovery Grants Program - Individual,2008,304466356
Discovery Grants Program - Individual,2007,302156326
Discovery Grants Program - Individual,2006,299149016
Discovery Grants Program - Individual,2005,290622553
Discovery Grants Program - Individual,2004,266599163
Discovery Grants Program - Individual,2003,263856474
Discovery Grants Program - Individual,2002,250797723
Discovery Grants Program - Individual,2000,236741847
Discovery Grants Program - Individual,2001,231280130
Discovery Grants Program - Individual,1999,220248666
Discovery Grants Program - Individual,1998,207955469
Discovery Grants Program - Individual,1997,187432848
Discovery Grants Program - Individual,1996,184133630
Discovery Grants Program - Individual,1995,181612886
Canada Research Chairs,2008,118014545
Canada Research Chairs,2009,117630000
Canada Research Chairs,2010,117343069
Canada Research Chairs,2011,117176009
Canada Research Chairs,2007,115887247
Canada Research Chairs,2012,115431694
Canada Research Chairs,2013,113820345
Canada Research Chairs,2014,112978091
Canada Research Chairs,2006,111178757
Canada Research Chairs,2015,108982860
Canada Research Chairs,2016,107886841
Canada Research Chairs,2005,100246855
Collaborative Research and Development Grants,2016,93891254
Canada Research Chairs,2004,86427462
Collaborative Research and Development Grants,2015,83189033
Collaborative Research and Development Grants,2014,75377947
Collaborative Research and Development Grants,2013,71954968
Canada Research Chairs,2003,67884136
Canada First Research Excellence Fund,2016,66506108
Collaborative Research and Development Grants,2012,64215572
Strategic Projects - Group,2009,60802489
Strategic Projects - Group,2008,58760210
Collaborative Research and Development Grants,2011,58186923
Centres of Excellence for Commercialization and Research - Group,2007,57176250
Postgraduate Scholarships,2003,57041936
Strategic Projects - Group,2010,57025110
Collaborative Research and Development Grants,2010,55507129
Postgraduate Scholarships,2002,53826918
Collaborative Research and Development Grants,2009,52490091
Strategic Projects - Group,2007,51916854
Postgraduate Scholarships,1999,50616910
Collaborative Research and Development Grants,2008,50264111
Strategic Projects - Group,2011,48734844
Postgraduate Scholarships,2001,48361773
Postgraduate Scholarships,2000,47785180
Canada Research Chairs,2002,47550000
Postgraduate Scholarships,1998,47538464
Strategic Projects - Group,2004,47157217
"Research Tools and Instruments - Category 1 (<$150,000)",2006,47071808
Strategic Projects - Group,2003,45717398
Strategic Projects - Group,2005,45682868
Strategic Projects - Group,2006,44722824
Collaborative Research and Development Grants,2007,44413881
Strategic Projects - Group,2002,42820210
Strategic Projects - Group,2016,42690911
Strategic Projects - Group,2012,41219586
"Research Tools and Instruments - Category 1 (<$150,000)",2004,40648059
Networks of Centres of Excellence,2007,40200000
Networks of Centres of Excellence,2006,40075000
Networks of Centres of Excellence,2009,39950000
Networks of Centres of Excellence,2005,39725000
Networks of Centres of Excellence,2010,39711500
Research Networks,2011,39519978
Networks of Centres of Excellence,2000,38616983
Networks of Centres of Excellence,2011,38420000
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2010,38305930
Networks of Centres of Excellence,2001,38282991
Networks of Centres of Excellence,2004,38200000
Networks of Centres of Excellence,2003,37836000
Engage Grants Program                                                                               ,2015,37770946
Research Networks,2012,37736048
Networks of Centres of Excellence,2002,37710700
Collaborative Research and Development Grants,2006,37581628
"Research Tools and Instruments - Category 1 (<$150,000)",1999,37228353
"Research Tools and Instruments - Category 1 (<$150,000)",2005,37156700
"Research Tools and Instruments - Category 1 (<$150,000)",2007,37138377
Postgraduate Scholarships,1997,36416540
Networks of Centres of Excellence,2012,36399000
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2011,36340335
Major Resources Support Program - Infrastructure,2011,36268370
Strategic Projects - Group,2001,36058704
Strategic Projects - Group,2014,36000622
Strategic Projects - Group,2000,35964094
Strategic Projects - Group,2015,35914295
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2009,35909914
Networks of Centres of Excellence,1999,34991826
"Research Tools and Instruments - Category 1 (<$150,000)",2009,34951528
Major Resources Support Program - Infrastructure,2010,34595700
Strategic Projects - Group,2013,34510758
Research Tools and Instruments,2016,34200335
Postgraduate Scholarships - Doctoral,2008,33995096
Postgraduate Scholarships,1996,33979177
Postgraduate Scholarships - Doctoral,2007,33621541
Postgraduate Scholarships,1995,33605772
Research Networks,2010,33442042
Networks of Centres of Excellence,2015,33430050
Networks of Centres of Excellence,2014,33430050
Networks of Centres of Excellence,2016,33310215
Networks of Centres of Excellence,2013,33180050
Major Resources Support Program - Infrastructure,2009,32967529
Engage Grants Program                                                                               ,2016,32760492
Postgraduate Scholarships - Doctoral,2010,32719874
Networks of Centres of Excellence,2008,32686240
Collaborative Research and Development Grants,2005,32450647
Engage Grants Program                                                                               ,2014,32323878
Postgraduate Scholarships - Doctoral,2009,32158863
"Research Tools and Instruments - Category 1 (<$150,000)",1998,31968998
Research Networks,2009,31769508
Major Resources Support Program - Infrastructure,2012,31740988
"Research Tools and Instruments - Category 1 (<$150,000)",2010,31383664
Canada First Research Excellence Fund,2015,31234943
"Research Tools and Instruments - Category 1 (<$150,000)",2008,30934902
"Research Tools and Instruments - Category 1 (<$150,000)",2000,30668273
Research Networks,2013,30575696
Industrial Research Chairs,2016,30298837
Postgraduate Scholarships - Doctoral,2006,30015204
Strategic Projects - Group,1999,29784345
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2012,29720924
Collaborative Research and Development Grants,2004,29677562
Strategic Projects - Group,1995,29513121
Strategic Projects - Group,1998,29224273
Engage Grants Program                                                                               ,2013,29065041
Strategic Projects - Group,1996,28903540
Postgraduate Scholarships - Doctoral,2011,28516551
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2014,28192161
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2016,28180716
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2015,28090416
Collaborative Research and Development Grants,2003,27950639
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2013,27559428
Collaborative Research and Training Experience                                                      ,2014,27521722
Postgraduate Scholarships - Doctoral,2005,27344638
Networks of Centres of Excellence,1998,27299500
"Research Tools and Instruments - Category 1 (<$150,000)",2014,27071796
Canada Research Chairs,2001,27050000
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2008,26777877
Centres of Excellence for Commercialization and Research - Group,2008,26657635
Collaborative Research and Development Grants,2002,26604850
Collaborative Research and Training Experience                                                      ,2015,26481707
Industrial Research Chairs,2011,26396406
Industrial Research Chairs,2012,26103283
Research Tools and Instruments,2015,25942263
Strategic Projects - Group,1997,25835487
Industrial Research Chairs,2015,25703229
Postgraduate Scholarships,2004,25557390
Canada Excellence Research Chairs,2016,25448000
Canada Excellence Research Chairs,2015,25050000
"Research Tools and Instruments - Category 1 (<$150,000)",2011,24888180
Networks of Centres of Excellence,1995,24725000
"Research Tools and Instruments - Category 1 (<$150,000)",2012,24689706
Postgraduate Scholarships - Doctoral,2012,24662122
Industrial Research Chairs,2009,24632987
Collaborative Research and Development Grants,2001,24575907
Industrial Research Chairs,2010,24531344
"Research Tools and Instruments - Category 1 (<$150,000)",2003,24503258
Industrial Research Chairs,2014,24412806
College and Community Innovation Program,2014,24269495
Collaborative Research and Training Experience                                                      ,2013,24099519
Industrial Research Chairs,2013,24084418
Collaborative Research and Training Experience                                                      ,2016,23892598
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2007,23509093
Collaborative Research and Development Grants,1999,23490083
College and Community Innovation Program,2012,23231253
Major Facilities Access Grants,2006,23105077
Collaborative Research and Development Grants,2000,22939494
Engage Grants Program                                                                               ,2012,22782633
Networks of Centres of Excellence,1996,22748000
Research Networks,2008,22594184
College and Community Innovation Program,2011,22554143
Industrial Research Chairs,2008,22004338
Postgraduate Scholarships - Doctoral,2013,21938370
Research Networks,2014,21845072
Canada Excellence Research Chairs,2014,21800000
Major Facilities Access Grants,2007,21632269
Networks of Centres of Excellence,1997,21631000
Industrial Research Chairs,2006,21438676
Postgraduate Scholarships - Doctoral,2015,21392588
"Research Tools and Instruments - Category 1 (<$150,000)",1996,21211017
Postgraduate Scholarships - Master's,2008,21090708
Major Facilities Access Grants,2005,21087784
Postgraduate Scholarships - Doctoral,2014,20942519
Postgraduate Scholarships - Doctoral,2016,20926334
University Undergraduate Student Research Awards,2008,20621160
Industrial Research Chairs,2007,20372967
Alexander Graham Bell Canada Graduate Scholarships - Doctoral,2006,20358334
Postgraduate Scholarships - Master's,2005,20214527
"Research Tools and Instruments - Category 1 (<$150,000)",1995,20204264
Alexander Graham Bell Canada Graduate Scholarships - Master's,2009,20045274
"Research Tools and Instruments - Category 1 (<$150,000)",2001,19999668
Major Facilities Access Grants,2004,19689117
Collaborative Research and Training Experience                                                      ,2012,19553164
College and Community Innovation Program,2015,19245316
Major Facilities Access Grants,2008,19241681
Centres of Excellence for Commercialization and Research - Group,2009,19117125
Collaborative Research and Development Grants,1998,18752618
College and Community Innovation Program,2016,18619608
College and Community Innovation Program,2010,18533936
Collaborative Research and Development Grants,1995,18412266
Engage Grants Program                                                                               ,2011,18313735
Collaborative Research and Development Grants,1997,18264118
Postdoctoral Fellowships,2005,18257012
Canada Excellence Research Chairs,2012,18200000
Canada Excellence Research Chairs,2013,18200000
College and Community Innovation Program,2013,18106011
Centres of Excellence for Commercialization and Research - Group,2011,18044965
Collaborative Research and Development Grants,1996,17932234
Alexander Graham Bell Canada Graduate Scholarships - Master's,2010,17918220
Canada Excellence Research Chairs,2011,17833333
"Research Tools and Instruments - Category 1 (<$150,000)",2013,17553947
Centres of Excellence for Commercialization and Research - Group,2010,17407000
Postdoctoral Fellowships,2010,17001713
Research Networks,2007,16535947
Postgraduate Scholarships - Master's,2007,16446074
"Research Tools and Instruments - Category 1 (<$150,000)",1997,16426303
Research Networks,2003,16381599
Postdoctoral Fellowships,2009,16376513
Industrial Research Chairs,2005,16341558
Postgraduate Scholarships - Master's,2006,16238563
